docId,sentenceId,tokenId,text,lemma,ner,clID
bg-1085,0,1,Правителственият,,O,
bg-1085,1,1,Ербъс,Ербъс,B-PRO,PRO-Airbus-A319
bg-1085,1,2,прибира,,O,
bg-1085,1,3,бедстващите,,O,
bg-1085,1,4,българи,България,B-LOC,GPE-Bulgaria
bg-1085,1,5,в,,O,
bg-1085,1,6,Тимишоара,Тимишоара,B-LOC,GPE-Timisoara
bg-1085,2,1,.,,O,
bg-1085,2,2,27,,O,
bg-1085,2,3,.02,,O,
bg-1085,2,4,.,,O,
bg-1085,2,5,2018,,O,
bg-1085,2,6,16.06,,O,
bg-1085,3,1,Извънреден,,O,
bg-1085,3,2,полет,,O,
bg-1085,3,3,на,,O,
bg-1085,3,4,правителствения,,O,
bg-1085,3,5,самолет,,O,
bg-1085,4,1,Ербъс,Ербъс,B-PRO,PRO-Airbus-A319
bg-1085,4,2,319,319,I-PRO,PRO-Airbus-A319
bg-1085,4,3,на,,O,
bg-1085,4,4,Авиоотряд,Авиоотряд,B-ORG,ORG-28th-Air-Detachment
bg-1085,4,5,28,28,I-ORG,ORG-28th-Air-Detachment
bg-1085,4,6,ще,,O,
bg-1085,4,7,бъде,,O,
bg-1085,4,8,направен,,O,
bg-1085,4,9,този,,O,
bg-1085,4,10,следобед,,O,
bg-1085,4,11,до,,O,
bg-1085,4,12,летище,,O,
bg-1085,4,13,Тимишоара,Тимишоара,B-LOC,GPE-Timisoara
bg-1085,4,14,",",,O,
bg-1085,4,15,за,,O,
bg-1085,4,16,да,,O,
bg-1085,4,17,прибере,,O,
bg-1085,4,18,в,,O,
bg-1085,4,19,София,София,B-LOC,GPE-Sofia
bg-1085,4,20,група,,O,
bg-1085,4,21,от,,O,
bg-1085,4,22,113,,O,
bg-1085,4,23,български,българин,B-PER,GPE-Bulgaria
bg-1085,4,24,граждани,,O,
bg-1085,4,25,.,,O,
bg-1085,5,1,Полетът,,O,
bg-1085,5,2,е,,O,
bg-1085,5,3,разпореден,,O,
bg-1085,5,4,от,,O,
bg-1085,5,5,премиера,,O,
