docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-148,0,1,Nord,Nord,Nord,NNIS1-----A----,PROPN,B-PRO,PRO-Nord-Stream-2
cs-148,0,2,Stream,Stream,Stream,NNIS1-----A----,PROPN,I-PRO,PRO-Nord-Stream-2
cs-148,0,3,2,2,2,C=-------------,NUM,I-PRO,PRO-Nord-Stream-2
cs-148,0,4,:,,:,Z:-------------,PUNCT,O,
cs-148,0,5,Začínají,,začínat,VB-P---3P-AA---,VERB,O,
cs-148,0,6,stavební,,stavební,AAFP1----1A----,ADJ,O,
cs-148,0,7,práce,,práce,NNFP1-----A----,NOUN,O,
cs-148,0,8,",",,",",Z:-------------,PUNCT,O,
cs-148,0,9,politickému,,politický,AAIS3----1A----,ADJ,O,
cs-148,0,10,tlaku,,tlak,NNIS3-----A----,NOUN,O,
cs-148,0,11,projekt,,projekt,NNIS1-----A----,NOUN,O,
cs-148,0,12,stále,,stále,Db-------------,ADV,O,
cs-148,0,13,odolává,,odolávat,VB-S---3P-AA---,VERB,O,
cs-148,1,1,Přípravné,,přípravný,AAFP1----1A----,ADJ,O,
cs-148,1,2,práce,,práce,NNFP1-----A----,NOUN,O,
cs-148,1,3,na,,na,RR--6----------,ADP,O,
cs-148,1,4,plynovodu,,plynovod,NNIS6-----A----,NOUN,O,
cs-148,1,5,Nord,Nord,Nord,AAXXX----1A----,ADJ,B-PRO,PRO-Nord-Stream-2
cs-148,1,6,Stream,Stream,Stream,NNIS1-----A----,PROPN,I-PRO,PRO-Nord-Stream-2
cs-148,1,7,2,2,2,C=-------------,NUM,I-PRO,PRO-Nord-Stream-2
cs-148,1,8,začaly,,začít,VpTP---XR-AA---,VERB,O,
cs-148,1,9,v,,v,RR--6----------,ADP,O,
cs-148,1,10,minulém,,minulý,AAIS6----1A----,ADJ,O,
cs-148,1,11,týdnu,,týden,NNIS6-----A----,NOUN,O,
cs-148,1,12,",",,",",Z:-------------,PUNCT,O,
cs-148,1,13,v,,v,RR--6----------,ADP,O,
cs-148,1,14,červenci,,červenec,NNIS6-----A----,NOUN,O,
cs-148,1,15,by,,být,Vc-------------,AUX,O,
cs-148,1,16,měla,,mít,VpQW---XR-AA---,VERB,O,
cs-148,1,17,začít,,začít,Vf--------A----,VERB,O,
cs-148,1,18,i,,i,J^-------------,CCONJ,O,
cs-148,1,19,stavba,,stavba,NNFS1-----A----,NOUN,O,
cs-148,1,20,samotného,,samotný,AAIS2----1A----,ADJ,O,
cs-148,1,21,plynovodu,,plynovod,NNIS2-----A----,NOUN,O,
cs-148,1,22,.,,.,Z:-------------,PUNCT,O,
cs-148,2,1,Projekt,,projekt,NNIS1-----A----,NOUN,O,
cs-148,2,2,má,,mít,VB-S---3P-AA---,VERB,O,
cs-148,2,3,již,,již,Db-------------,ADV,O,
cs-148,2,4,řadu,,řada,NNFS4-----A----,NOUN,O,
cs-148,2,5,nutných,,nutný,AANP2----1A----,ADJ,O,
cs-148,2,6,povolení,,povolení,NNNP2-----A----,NOUN,O,
cs-148,2,7,",",,",",Z:-------------,PUNCT,O,
cs-148,2,8,přičemž,,přičemž,"J,-------------",ADV,O,
cs-148,2,9,zatím,,zatím,Db-------------,ADV,O,
cs-148,2,10,bez,,bez,RR--2----------,ADP,O,
cs-148,2,11,větších,,velký,AAIP2----2A----,ADJ,O,
cs-148,2,12,problémů,,problém,NNIP2-----A----,NOUN,O,
cs-148,2,13,odolává,,odolávat,VB-S---3P-AA---,VERB,O,
cs-148,2,14,politickému,,politický,AAIS3----1A----,ADJ,O,
cs-148,2,15,tlaku,,tlak,NNIS3-----A----,NOUN,O,
cs-148,2,16,",",,",",Z:-------------,PUNCT,O,
cs-148,2,17,který,,který,P4YS1----------,DET,O,
cs-148,2,18,proti,,proti,RR--3----------,ADP,O,
cs-148,2,19,němu,,on,P5ZS3--3-------,PRON,O,
cs-148,2,20,v,,v,RR--6----------,ADP,O,
cs-148,2,21,poslední,,poslední,AAFS6----1A----,ADJ,O,
cs-148,2,22,době,,doba,NNFS6-----A----,NOUN,O,
