docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID,calcNER
bg-1257,0,1,ИНЦИДЕНТ,,инцидент,Ncmsi,NOUN,O,,O
bg-1257,0,2,СЪС,,със,R,ADP,O,,O
bg-1257,0,3,САМОЛЕТ,,самолет,Npmsi,PROPN,O,,O
bg-1257,0,4,:,,:,punct,PUNCT,O,,O
bg-1257,1,1,33-ма,,33-ма,Mc-pi,NUM,O,,O
bg-1257,1,2,пътници,,пътник,Ncmpi,NOUN,O,,O
bg-1257,1,3,пострадаха,,пострадам,Vppif-o3p,VERB,O,,O
bg-1257,1,4,заради,,заради,R,ADP,O,,O
bg-1257,1,5,загуба,,загуба,Ncfsi,NOUN,O,,O
bg-1257,1,6,на,,на,R,ADP,O,,O
bg-1257,1,7,налягане,,налягане,Ncnsi,NOUN,O,,O
bg-1257,1,8,(,,(,punct,PUNCT,O,,O
bg-1257,1,9,ВИДЕО,,видео,Npnsi,PROPN,O,,O
bg-1257,1,10,),,),punct,PUNCT,O,,O
bg-1257,2,1,Общо,,общо,Dq,ADV,O,,O
bg-1257,2,2,33-ма,,33-ма,Mc-pi,NUM,O,,O
bg-1257,2,3,пътници,,пътник,Ncmpi,NOUN,O,,O
bg-1257,2,4,са,,съм,Vxitf-r3p,AUX,O,,O
bg-1257,2,5,пострадали,,пострадам,Vppicao-p-i,VERB,O,,O
bg-1257,2,6,при,,при,R,ADP,O,,O
bg-1257,2,7,инцидент,,инцидент,Ncmsi,NOUN,O,,O
bg-1257,2,8,със,,със,R,ADP,O,,O
bg-1257,2,9,самолет,,самолет,Ncmsi,NOUN,O,,O
bg-1257,2,10,на,,на,R,ADP,O,,O
bg-1257,2,11,авиокоманията,,авиокомания,Ncfsd,NOUN,O,,O
bg-1257,2,12,“,,“,punct,PUNCT,O,,O
bg-1257,2,13,Райънеър,Райънеър,райънеър,Npmsi,PROPN,B-ORG,ORG-Ryanair,B-ORG
bg-1257,2,14,”,,”,punct,PUNCT,O,,O
bg-1257,2,15,.,,.,punct,PUNCT,O,,O
bg-1257,3,1,Машината,,машина,Ncfsd,NOUN,O,,O
bg-1257,3,2,",",,",",punct,PUNCT,O,,O
bg-1257,3,3,летяща,,летя,Vpitcar-sfi,ADJ,O,,O
bg-1257,3,4,от,,от,R,ADP,O,,O
bg-1257,3,5,Дъблин,Дъблин,дъблин,Npmsi,PROPN,B-LOC,GPE-Dublin,B-LOC
bg-1257,3,6,за,,за,R,ADP,O,,O
bg-1257,3,7,хърватския,,хърватски,Amsh,ADJ,O,,O
