docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
242,0,1,Европейская,европейская,европейский,,ADJ,B-ORG,1.0
242,0,2,Комиссия,комиссия,комиссия,,PROPN,I-ORG,1.0
242,0,3,(,,(,,PUNCT,O,
242,0,4,Представительство,,представительство,,NOUN,O,
242,0,5,в,,в,,ADP,O,
242,0,6,Украине,украина,Украина,,PROPN,B-LOC,150.0
242,0,7,),,),,PUNCT,O,
242,0,8,-,,-,,PUNCT,O,
242,0,9,Избирательные,,избирательный,,ADJ,O,
242,0,10,комиссии,,комиссия,,NOUN,O,
242,0,11,.,,.,,PUNCT,O,
242,1,1,Адрес,,адрес,,NOUN,O,
242,1,2,Европейская,европейская,европейский,,ADJ,B-ORG,1.0
242,1,3,Комиссия,комиссия,комиссия,,PROPN,I-ORG,1.0
242,1,4,(,,(,,PUNCT,O,
242,1,5,Представительство,,представительство,,NOUN,O,
242,1,6,в,,в,,ADP,O,
242,1,7,Украине,украина,Украина,,PROPN,B-LOC,150.0
242,1,8,),,),,PUNCT,O,
242,1,9,-,,-,,PUNCT,O,
242,1,10,ул.,,улица,,NOUN,O,
242,1,11,Круглоуниверситетская,круглоуниверситетская,круглоуниверситерский,,ADJ,B-LOC,10072.0
242,1,12,",",,",",,PUNCT,O,
242,1,13,10,,10,,NUM,O,
242,1,14,",",,",",,PUNCT,O,
242,1,15,Киев,киев,Киев,,PROPN,B-LOC,10073.0
242,1,16,-,,-,,PUNCT,O,
242,1,17,В,,в,,ADP,O,
242,1,18,городе,,город,,NOUN,O,
242,1,19,Использование,,использование,,PROPN,O,
242,1,20,любых,,любой,,DET,O,
242,1,21,материалов,,материал,,NOUN,O,
242,1,22,разрешается,,разрешать,,VERB,O,
242,1,23,при,,при,,ADP,O,
242,1,24,условии,,условие,,NOUN,O,
242,1,25,прямой,,прямой,,ADJ,O,
242,1,26,",",,",",,PUNCT,O,
242,1,27,не,,не,,PART,O,
242,1,28,закрытой,,закрыть,,VERB,O,
242,1,29,от,,от,,ADP,O,
242,1,30,поисков,,поиск,,NOUN,O,
242,1,31,ссылки,,ссылка,,NOUN,O,
242,1,32,на,,на,,ADP,O,
242,1,33,Vgorode.ua,,Vgorode.ua,,PROPN,O,
242,1,34,.,,.,,PUNCT,O,
242,2,1,Ссылка,,ссылка,,NOUN,O,
242,2,2,должна,,должен,,ADJ,O,
242,2,3,быть,,быть,,AUX,O,
242,2,4,размещена,,разместить,,VERB,O,
242,2,5,в,,в,,ADP,O,
242,2,6,независимости,,независимость,,NOUN,O,
242,2,7,от,,от,,ADP,O,
242,2,8,полного,,полный,,ADJ,O,
242,2,9,либо,,либо,,CCONJ,O,
242,2,10,частичного,,частичный,,ADJ,O,
242,2,11,использования,,использование,,NOUN,O,
242,2,12,материалов,,материал,,NOUN,O,
242,2,13,.,,.,,PUNCT,O,
242,3,1,Гиперссылка,,гиперссылка,,NOUN,O,
242,3,2,–,,–,,PUNCT,O,
242,3,3,должна,,должен,,ADJ,O,
242,3,4,быть,,быть,,AUX,O,
242,3,5,размещена,,разместить,,VERB,O,
242,3,6,в,,в,,ADP,O,
242,3,7,подзаголовке,,подзаголовка,,NOUN,O,
242,3,8,или,,или,,CCONJ,O,
242,3,9,в,,в,,ADP,O,
242,3,10,первом,,первый,,ADJ,O,
242,3,11,абзаце,,абзац,,NOUN,O,
242,3,12,материала,,материал,,NOUN,O,
242,3,13,.,,.,,PUNCT,O,
250,0,1,Европейская,европейская,европейский,,ADJ,B-ORG,1.0
250,0,2,Комиссия,комиссия,комиссия,,PROPN,I-ORG,1.0
250,0,3,приняла,,принять,,VERB,O,
250,0,4,Европейскую,,Европейский,,PROPN,O,
250,0,5,стратегию,,стратегия,,NOUN,O,
250,0,6,совместных,,совместный,,ADJ,O,
250,0,7,интеллектуальных,,интеллектуальный,,ADJ,O,
250,0,8,транспортных,,транспортный,,ADJ,O,
250,0,9,систем,,система,,NOUN,O,
250,0,10,(,,(,,PUNCT,O,
250,0,11,C-ИТС,,C-ИТС,,PROPN,O,
250,0,12,),,),,PUNCT,O,
250,0,13,Европейская,европейская,Европейская,,PROPN,B-ORG,1.0
