docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-51,0,1,Po,,po,Sl,ADP,O,
sl-51,0,2,stečaju,,stečaj,Ncmsl,NOUN,O,
sl-51,0,3,Adrie,Adria,Adria,Npfsg,PROPN,B-ORG,ORG-Adria-Airways
sl-51,0,4,hiter,,hiter,Agpmsnn,ADJ,O,
sl-51,0,5,odziv,,odziv,Ncmsn,NOUN,O,
sl-51,0,6,Lufthanse,Lufthansa,Lufthansa,Npfsg,PROPN,B-ORG,ORG-Lufthansa
sl-51,1,1,Skupina,,skupina,Ncfsn,NOUN,O,
sl-51,1,2,Lufthansa,Lufthansa,Lufthansa,Npfsn,PROPN,B-ORG,ORG-Lufthansa
sl-51,1,3,je,,biti,Va-r3s-n,AUX,O,
sl-51,1,4,v,,v,Sl,ADP,O,
sl-51,1,5,dveh,,dva,Mlcmdl,NUM,O,
sl-51,1,6,dneh,,dan,Ncmdl,NOUN,O,
sl-51,1,7,aktivirala,,aktivirati,Vmbp-sf,VERB,O,
sl-51,1,8,štiri,,štirje,Mlcfpa,NUM,O,
sl-51,1,9,od,,od,Sg,ADP,O,
sl-51,1,10,petih,,pet,Mlc-pg,NUM,O,
sl-51,1,11,zelo,,zelo,Rgp,ADV,O,
sl-51,1,12,pomembnih,,pomemben,Agpfpg,ADJ,O,
sl-51,1,13,povezav,,povezava,Ncfpg,NOUN,O,
sl-51,1,14,z,,z,Sg,ADP,O,
sl-51,1,15,ljubljanskega,,ljubljanski,Agpnsg,ADJ,O,
sl-51,1,16,letališča,,letališče,Ncnsg,NOUN,O,
sl-51,1,17,.,,.,Z,PUNCT,O,
sl-51,2,1,Nemški,,nemški,Agpmsny,ADJ,O,
sl-51,2,2,letalski,,letalski,Agpmsny,ADJ,O,
sl-51,2,3,prevoznik,,prevoznik,Ncmsn,NOUN,O,
sl-51,2,4,je,,biti,Va-r3s-n,AUX,O,
sl-51,2,5,med,,med,Sa,ADP,O,
sl-51,2,6,svoje,,svoj,Px-fpa,DET,O,
sl-51,2,7,hčerinske,,hčerinski,Agpfpa,ADJ,O,
sl-51,2,8,družbe,,družba,Ncfpa,NOUN,O,
sl-51,2,9,zelo,,zelo,Rgp,ADV,O,
sl-51,2,10,hitro,,hitro,Rgp,ADV,O,
sl-51,2,11,razdelil,,razdeliti,Vmep-sm,VERB,O,
sl-51,2,12,štiri,,štirje,Mlcfpa,NUM,O,
sl-51,2,13,nove,,nov,Agpfpa,ADJ,O,
sl-51,2,14,linije,,linija,Ncfpa,NOUN,O,
sl-51,2,15,z,,z,Sg,ADP,O,
