docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID,calcNER
ru-34,0,1,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair,B-ORG
ru-34,0,2,отменил,,отменить,,VERB,O,,O
ru-34,0,3,рейсы,,рейс,,NOUN,O,,O
ru-34,0,4,50,,50,,NUM,O,,O
ru-34,0,5,тысяч,,тысяча,,NOUN,O,,O
ru-34,0,6,пассажиров,,пассажир,,NOUN,O,,O
ru-34,0,7,из-за,,из-за,,ADP,O,,O
ru-34,0,8,забастовки,,забастовка,,NOUN,O,,O
ru-34,0,9,бортпроводников,,бортпроводник,,NOUN,O,,O
ru-34,1,1,.,,.,,PUNCT,O,,O
ru-34,2,1,Первопричиной,,первопричина,,NOUN,O,,O
ru-34,2,2,отмены,,отмена,,NOUN,O,,O
ru-34,2,3,рейсов,,рейс,,NOUN,O,,O
ru-34,2,4,стала,,стать,,VERB,O,,O
ru-34,2,5,забастовка,,забастовка,,NOUN,O,,O
ru-34,2,6,бортпроводников,,бортпроводник,,NOUN,O,,O
ru-34,2,7,.,,.,,PUNCT,O,,O
ru-34,3,1,Бюджетная,,бюджетный,,ADJ,O,,O
ru-34,3,2,авиакомпания,,авиакомпания,,NOUN,O,,O
ru-34,3,3,(,,(,,PUNCT,O,,O
ru-34,3,4,лоукостер,,лоукостер,,NOUN,O,,O
ru-34,3,5,),,),,PUNCT,O,,O
ru-34,3,6,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair,B-ORG
ru-34,3,7,проинформировала,,информировать,,VERB,O,,O
ru-34,3,8,об,,о,,ADP,O,,O
ru-34,3,9,отмене,,отмена,,NOUN,O,,O
ru-34,3,10,около,,около,,ADP,O,,O
ru-34,3,11,600,,600,,NUM,O,,O
ru-34,3,12,рейсов,,рейс,,NOUN,O,,O
ru-34,3,13,в,,в,,ADP,O,,O
ru-34,3,14,среду,,среда,,NOUN,O,,O
ru-34,3,15,и,,и,,CCONJ,O,,O
ru-34,3,16,в,,в,,ADP,O,,O
ru-34,3,17,четверг,,четверг,,NOUN,O,,O
ru-34,3,18,на,,на,,ADP,O,,O
ru-34,3,19,следующей,,следующий,,ADJ,O,,O
ru-34,3,20,неделе,,неделя,,NOUN,O,,O
ru-34,3,21,из-за,,из-за,,ADP,O,,O
ru-34,3,22,забастовки,,забастовка,,NOUN,O,,O
ru-34,3,23,пилотов,,пилот,,NOUN,O,,O
ru-34,3,24,.,,.,,PUNCT,O,,O
ru-34,4,1,Об,,о,,ADP,O,,O
ru-34,4,2,этом,,это,,PRON,O,,O
ru-34,4,3,информирует,,информировать,,VERB,O,,O
ru-34,4,4,avianews.com,,avianews.com,,PROPN,O,,O
ru-34,4,5,ссылаясь,,ссылаться,,VERB,O,,O
ru-34,4,6,на,,на,,ADP,O,,O
ru-34,4,7,уполномченных,,уполномчить,,VERB,O,,O
ru-34,4,8,компании,,компания,,NOUN,O,,O
ru-34,4,9,.,,.,,PUNCT,O,,O
ru-34,5,1,Ирландская,,ирландский,,ADJ,O,,O
ru-34,5,2,авиакомпания,,авиакомпания,,NOUN,O,,O
ru-34,5,3,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair,B-ORG
ru-34,5,4,отменила,,отменить,,VERB,O,,O
ru-34,5,5,600,,600,,NUM,O,,O
ru-34,5,6,рейсов,,рейс,,NOUN,O,,O
ru-34,5,7,из-за,,из-за,,ADP,O,,O
ru-34,5,8,угрозы,,угроза,,NOUN,O,,O
ru-34,5,9,забастовки,,забастовка,,NOUN,O,,O
ru-34,5,10,бортпроводников,,бортпроводник,,NOUN,O,,O
ru-34,5,11,в,,в,,ADP,O,,O
ru-34,5,12,Бельгии,Бельгия,Бельгия,,PROPN,B-LOC,GPE-Belgium,B-LOC
ru-34,5,13,",",,",",,PUNCT,O,,O
ru-34,5,14,Португалии,Португалия,Португалия,,PROPN,B-LOC,GPE-Portugal,B-LOC
ru-34,5,15,и,,и,,CCONJ,O,,O
ru-34,5,16,Испании,Испания,Испания,,PROPN,B-LOC,GPE-Spain,B-LOC
ru-34,5,17,",",,",",,PUNCT,O,,O
ru-34,5,18,информирует,,информировать,,VERB,O,,O
ru-34,5,19,«,,«,,NOUN,O,,O
ru-34,5,20,получили,,получить,,VERB,O,,O
ru-34,5,21,рекомендации,,рекомендация,,NOUN,O,,O
ru-34,5,22,об,,о,,ADP,O,,O
ru-34,5,23,альтернативных,,альтернативный,,ADJ,O,,O
ru-34,5,24,маршрутах,,маршрут,,NOUN,O,,O
ru-34,5,25,в,,в,,ADP,O,,O
ru-34,5,26,период,,период,,NOUN,O,,O
ru-34,5,27,7-ми,,7-й,,ADJ,O,,O
ru-34,5,28,дней,,день,,NOUN,O,,O
ru-34,5,29,перед,,перед,,ADP,O,,O
ru-34,5,30,и,,и,,CCONJ,O,,O
ru-34,5,31,после,,после,,ADP,O,,O
ru-34,5,32,25,,25,,NUM,O,,O
ru-34,5,33,и,,и,,CCONJ,O,,O
ru-34,5,34,26,,26,,NUM,O,,O
ru-34,5,35,июля,,июль,,NOUN,O,,O
ru-34,5,36,.,,.,,PUNCT,O,,O
ru-34,6,1,Перевозчик,,перевозчик,,NOUN,O,,O
ru-34,6,2,исполняет,,исполнять,,VERB,O,,O
ru-34,6,3,рейсы,,рейс,,NOUN,O,,O
ru-34,6,4,между,,между,,ADP,O,,O
ru-34,6,5,33,,33,,NUM,O,,O
ru-34,6,6,странами,,страна,,NOUN,O,,O
ru-34,6,7,",",,",",,PUNCT,O,,O
ru-34,6,8,обслуживая,,обслуживать,,VERB,O,,O
ru-34,6,9,не,,не,,PART,O,,O
ru-34,6,10,менее,,менее,,ADV,O,,O
ru-34,6,11,"1,8",,"1,8",,NUM,O,,O
ru-34,6,12,тысячи,,тысяча,,NOUN,O,,O
ru-34,6,13,направлений,,направление,,NOUN,O,,O
ru-34,6,14,.,,.,,PUNCT,O,,O
ru-34,7,1,Штат,,штат,,NOUN,O,,O
ru-34,7,2,компании,,компания,,NOUN,O,,O
ru-34,7,3,около,,около,,ADP,O,,O
ru-34,7,4,"11,5",,"11,5",,NUM,O,,O
ru-34,7,5,тысячи,,тысяча,,NOUN,O,,O
ru-34,7,6,человек,,человек,,NOUN,O,,O
ru-34,7,7,.,,.,,PUNCT,O,,O
ru-34,8,1,По,,по,,ADP,O,,O
ru-34,8,2,оценке,,оценка,,NOUN,O,,O
ru-34,8,3,компании,,компания,,NOUN,O,,O
ru-34,8,4,",",,",",,PUNCT,O,,O
ru-34,8,5,забастовки,,забастовка,,NOUN,O,,O
ru-34,8,6,могут,,мочь,,VERB,O,,O
ru-34,8,7,сказаться,,сказаться,,VERB,O,,O
ru-34,8,8,на,,на,,ADP,O,,O
ru-34,8,9,100 000,,100 000,,NUM,O,,O
ru-34,8,10,пассажиров,,пассажир,,NOUN,O,,O
ru-34,8,11,",",,",",,PUNCT,O,,O
ru-34,8,12,которым,,который,,PRON,O,,O
ru-34,8,13,будут,,быть,,AUX,O,,O
ru-34,8,14,предложены,,предложить,,VERB,O,,O
ru-34,8,15,альтернативные,,альтернативный,,ADJ,O,,O
ru-34,8,16,варианты,,вариант,,NOUN,O,,O
ru-34,8,17,рейсов,,рейс,,NOUN,O,,O
ru-34,8,18,",",,",",,PUNCT,O,,O
ru-34,8,19,гостиничные,,гостиничный,,ADJ,O,,O
ru-34,8,20,услуги,,услуга,,NOUN,O,,O
ru-34,8,21,и,,и,,CCONJ,O,,O
ru-34,8,22,возможность,,возможность,,NOUN,O,,O
ru-34,8,23,вернуть,,вернуть,,VERB,O,,O
ru-34,8,24,билеты,,билет,,NOUN,O,,O
ru-34,8,25,.,,.,,PUNCT,O,,O
ru-34,9,1,Также,,также,,ADV,O,,O
ru-34,9,2,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair,B-ORG
ru-34,9,3,отменяла,,отменять,,VERB,O,,O
ru-34,9,4,рейсы,,рейс,,NOUN,O,,O
ru-34,9,5,на,,на,,ADP,O,,O
ru-34,9,6,прошедшей,,пройти,,VERB,O,,O
ru-34,9,7,неделе,,неделя,,NOUN,O,,O
ru-34,9,8,.,,.,,PUNCT,O,,O
