docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID,calcNER
bg-38,0,1,Ислямистите,,ислямист,Ncmpd,NOUN,O,,O
bg-38,0,2,",",,",",punct,PUNCT,O,,O
bg-38,0,3,протестирали,,протестирам,Vpitcam-p-i,VERB,O,,O
bg-38,0,4,за,,за,R,ADP,O,,O
bg-38,0,5,помилването,,помилване,Ncnsd,NOUN,O,,O
bg-38,0,6,на,,на,R,ADP,O,,O
bg-38,0,7,осъдената,,осъдя,Vpptcv--sfd,ADJ,O,,O
bg-38,0,8,в,,в,R,ADP,O,,O
bg-38,0,9,Пакистан,Пакистан,пакистан,Npmsi,PROPN,B-LOC,GPE-Pakistan,B-LOC
bg-38,0,10,",",,",",punct,PUNCT,O,,O
bg-38,0,11,се,,се,Ppxta,PRON,O,,O
bg-38,0,12,разбраха,,разбера-(се),Vpptf-o3p,VERB,O,,O
bg-38,0,13,с,,с,R,ADP,O,,O
bg-38,0,14,правителството,,правителство,Ncnsd,NOUN,O,,O
bg-38,1,1,.,,.,R,ADP,O,,O
bg-38,1,2,03.11.2018,,03.11.2018,Mofsi,ADJ,O,,O
bg-38,1,3,14.38,,14.38,Mofsi,ADJ,O,,O
bg-38,1,4,Пакистанска,,пакистански,Afsi,ADJ,O,,O
bg-38,1,5,ислямистка,,ислямистки,Afsi,ADJ,O,,O
bg-38,1,6,групировка,,групировка,Ncfsi,NOUN,O,,O
bg-38,1,7,сключи,,сключа,Vpptf-o3s,VERB,O,,O
bg-38,1,8,сделка,,сделка,Ncfsi,NOUN,O,,O
bg-38,1,9,с,,с,R,ADP,O,,O
bg-38,1,10,правителството,,правителство,Ncnsd,NOUN,O,,O
bg-38,1,11,и,,и,Cp,CCONJ,O,,O
bg-38,1,12,прекрати,,прекратя,Vpptf-o3s,VERB,O,,O
bg-38,1,13,организирания,,организирам,Vpptcv--smh,ADJ,O,,O
bg-38,1,14,от,,от,R,ADP,O,,O
bg-38,1,15,нея,,аз,Ppelas3f,PRON,O,,O
bg-38,1,16,национален,,национален,Amsi,ADJ,O,,O
